"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"HEARST SOCO NEWSPAPER, LLC D/B/A THE ADVOCATE",1931,"NY"," (UAW) 2110","Sep 30, 2010","813319","2771","PRIVATE"
"HEAVY & HIGHWAY",1738,"KY"," (LIUNA) 2631","Jun 30, 2015","23731","4000","PRIVATE"
"HEAVY & HIGHWAY",1739,"KY","LABORERS  (LIUNA) 189","Jun 30, 2012","23731","4000","PRIVATE"
"HEAVY & HIGHWAY",2057,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) 520","Jul 31, 2012","23731",,"PRIVATE"
"HEAVY & HIGHWAY",2058,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) 520","Jul 31, 2015","23731",,"PRIVATE"
"HEAVY & HIGHWAY CONTRACTORS",1740,"KY","LABORERS  (LIUNA) 1214/LABORERS  (LIUNA) 1392/LABORERS  (LIUNA) 1445/LABORERS  (LIUNA) 189/LABORERS  (LIUNA) 561/LABORERS  (LIUNA) 576","Jun 30, 2009","23731","4000","PRIVATE"
"HEAVY & HIGHWAY CONTRACTORS (HVY-HWY)",1737,"KY","LABORERS  (LIUNA) 576","Jun 30, 2004","23731","4000","PRIVATE"
"HEAVY & HIGHWAY CONTRACTORS (HVY-HWY)",1899,"KY","CARPENTERS IND (CJA) 85","Mar 31, 2013","23731","1057","PRIVATE"
"HEAVY AND HIGHWAY CONSTRUCTION",1585,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) 520","Jul 31, 2012","23731","1500","PRIVATE"
"HEAVY AND HIGHWAY CONSTRUCTION (ENTIRE STATE OF WISCONSIN)/WISCONSIN TRANSPORTATION EMPLOYERS COUNCIL",4207,"WI","ENGINEERS, OPERATING, AFL-CIO (IUOE) 39 ","May 31, 2024",,,"PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC",1274,"MO","LABORERS  (LIUNA) 1290/LABORERS  (LIUNA) 663","Mar 31, 2010","23731","1000","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC",1275,"MO KANSAS CITY","LABORERS  (LIUNA) 1290/LABORERS  (LIUNA) 663","Mar 31, 2006","23731","1000","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC",1276,"MO KANSAS CITY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 101","Mar 31, 2006","23731","3200","PRIVATE"
"HEAVY CONSTRUCTORS ASSOCIATION OF GREATER KC (HVY-HWY)",1077,"KS MO KANSAS CITY","TEAMSTERS (IBT) 541","Mar 31, 2006","23731","2000","PRIVATE"
"HEAVY, HIGHWAY, UTILITY AND/OR RAILROAD CONSTRUCTION",2437,"PA","LABORERS  (LIUNA) 158","Apr 30, 2020",,,"PRIVATE"
"HECHT'S DIV OF MAY DEPT. STORE",588,"MD","FOOD AND COMMERCIAL WKRS (UFCW) 400","Jul 19, 2005","452110","1600","PRIVATE"
"HEINEN'S INC. (CLERKS)",1782,"OH& PA","FOOD AND COMMERCIAL WKRS (UFCW) 880","Sep 11, 2011","445110","10700","PRIVATE"
"HEKTOEN INSTITUTE, LLC",3757,"IL","SERVICE EMPLOYEES (SEIU) HEALTHCARE IL IN","Sep 1, 2020",,,"PRIVATE"
"HEKTOEN INSTITUTE, LLC",4023,"IL","SERVICE EMPLOYEES (SEIU) HEALTHCARE IL IN","Sep 1, 2020",,,"PRIVATE"
"HELEN NEWBERRY JOY HOSPITAL & HEALTHCARE CENTER",3813,"MI","UNITED AUTOMOBILE, AEROSPACE, & AGRICULTURAL IMPLEMENT WORKERS OF AMERICA 2399 ","Mar 15, 2023","622110","144","PRIVATE"
"HEMPSTEAD NY, TOWN OF (GENERAL UNIT)",2902,"NY HEMPSTEAD"," (AFSCME) CSEA 880","Jun 6, 2005","921190","2130","PUBLIC"
"HEMPSTEAD, TOWN OF",3952,"NY","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 1000 CSEA - CIVIL SERVICE EMPLOYEES ASN (CSEA)","Dec 31, 2025",,,"PUBLIC"
"HENNEPIN COUNTY MN (CLERICAL UNIT)",3060,"MN MINNEAPOLIS"," (AFSCME) 2822","Dec 31, 2005","921190","1766","PUBLIC"
"HENNEPIN COUNTY MN (CLERICAL UNIT)",3061,"MN MINNEAPOLIS"," (AFSCME) 2822","Dec 31, 2018","921190",,"PUBLIC"
"HENNEPIN COUNTY MN (SOCIAL SERVICES UNIT)",3058,"MN MINNEAPOLIS","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 14 AFSCME COUNCIL 14","Dec 31, 2007","624","1961","PUBLIC"
"HENNEPIN COUNTY MN (SOCIAL SERVICES UNIT)",3059,"MN MINNEAPOLIS"," (AFSCME) 34","Dec 31, 2018","624",,"PUBLIC"
"HERKIMER HOUSING AUTHORITY (PUBLIC WORKS)",4386,"NY","TEAMSTERS (IBT) 294 ","Jun 30, 2024",,,"PUBLIC"
"HERRIN COMMUNITY UNIT SCHOOL DISTRICT NO. 4",4056,"IL","LABORERS  (LIUNA) 773 ","Aug 31, 2018",,,"PUBLIC"
"HERSHEY CHOCOLATE U.S.A.",65,"PA HERSHEY"," (BCTGM) 464","Oct 31, 2010","31133","2800","PRIVATE"
"HERTZ CORPORATION, THE (BUS DRIVERS)",861,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) 32","Mar 31, 2022",,,"PRIVATE"
"HERTZ CORPORATION, THE (UTILITY PERSON)",862,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) 32","May 31, 2020",,,"PRIVATE"
"HFA: NEW YORK STATE HOUSING FINANCE AGENCY",1923,"NY"," (UAW) 2110","Apr 30, 2011","813319","2771","PRIVATE"
"HICKORY HILLS, CITY OF (PUBLIC WORKS)",4301,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Apr 30, 2026",,,"PUBLIC"
"HIGH-RISE CONTRACT (BCA)",1559,"NY NASSAU","TEAMSTERS (IBT) 282","Jun 30, 2005","23622","4700","PRIVATE"
"HIGHLAND CHATEAU SUITES, LLC (LPN)",3973,"MN","FOOD AND COMMERCIAL WKRS (UFCW) 1189 ","Sep 30, 2021",,,"PRIVATE"
"HIGHLAND CHATEAU SUITES, LLC (LPNS)",2530,"MN","FOOD AND COMMERCIAL WKRS (UFCW) 1189","Sep 30, 2019",,,"PRIVATE"
"HIGHLAND CHATEAU SUITES, LLC (SERVICE & MAINTENANCE)",2531,"MN","FOOD AND COMMERCIAL WKRS (UFCW) 1189","Sep 30, 2019",,,"PRIVATE"
"HIGHLAND CHATEAU SUITES, LLC. (SERVICE WORKERS)",3972,"MN","FOOD AND COMMERCIAL WKRS (UFCW) 1189 ","Sep 30, 2021",,,"PRIVATE"
"HIGHLINE WA SCHOOL DISTRICT #401 (TEACHERS)",2640,"WA SEATTLE"," (NEA) HEA","Aug 31, 2003","611110","1050","PUBLIC"
"HIGHRISE INDUSTRY (BCA & INDEPENDENTS)",2385,"NY","TEAMSTERS (IBT) 282","Jun 30, 2019",,,"PRIVATE"
"HIGHWAY, HEAVY AND UTILITY DIVISIONS - ICA, INC.",1891,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181","Mar 31, 2012","23731","4490","PRIVATE"
"HIGHWAY, HEAVY AND UTILITY DIVISIONS - ICA, INC.",1892,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181","Mar 31, 2018","23731","4490","PRIVATE"
"HIGHWAY, HEAVY AND UTILITY DIVISIONS - ICA, INC.",1893,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181","Mar 31, 2015","23731","4490","PRIVATE"
"HIGHWAY, RAILROAD AND HEAVY CONSTRUCTION CONTRACTORS (MINNESOTA)",2489,"MN","LABORERS  (LIUNA) 0 MINNESOTA-NORTH DAKOTA","Apr 30, 2020",,,"PRIVATE"
"HIGHWAY, RAILROAD AND HEAVY CONSTRUCTION CONTRACTORS (NORTH DAKOTA)",2491,"ND","LABORERS  (LIUNA) 563","Apr 30, 2020",,,"PRIVATE"
"HILLSBOROUGH COUNTY FL BOARD OF COUNTY COMMISSIONERS (BLUE COLLAR)",2637,"FL TAMPA"," (AFSCME) 167","Sep 30, 2005","921190","1200","PUBLIC"
"HILLSBOROUGH COUNTY FL BOARD OF EDUCATION (ED SUPPORT )",3285,"FL TAMPA"," (NEA) HCTA","Jun 30, 2006","611110","3000","PUBLIC"
"HILLSBOROUGH COUNTY FL BOARD OF EDUCATION(CLASSIFIED-BC)",2926,"FL TAMPA"," (AFT) HSEF 167","Jun 30, 2005","611110","3000","PUBLIC"
"HILTON GARDEN INN PHILDELPHIA CENTER CITY",2558,"PA","UNITE HERE 274","May 31, 2019","721110","79","PRIVATE"
"HILTON MANAGEMENT LLC (ORLANDO BUENA VISTA PALACE)",2455,"FL","UNITE HERE 737","Dec 31, 2019",,,"PRIVATE"
"HILTON MILWAUKEE CITY CENTER/PFISTER HOTEL, THE",4010,"WI","WORKERS UNITED, SEIU (WU) CHICAGO & MIDWEST REGIONAL JOINT.BOARD","Feb 14, 2022",,,"PRIVATE"
"HIRE NELSON CO., INC.",2329,"IL"," (CRCC) ","May 31, 2019",,,"PRIVATE"
"HIRSH INDUSTRIES, INC.",2251,"DE","TEAMSTERS (IBT) 326 GENERAL TEAMSTERS","Jun 23, 2020",,,"PRIVATE"
"HOLMES-WAYNE ELECTRIC COOPERATIVE, INC.",3933,"OH","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 2359 ","Oct 16, 2022",,,"PRIVATE"
"HOLT PUBLIC SCHOOLS BOARD OF EDUCATION (CUSTODIAL)",4433,"MI","TEAMSTERS (IBT) 243 ","Jun 30, 2024",,,"PUBLIC"
"HOLY CROSS HIGH SCHOOL",2438,"NJ"," (NACST) 1776","Aug 31, 2016",,,"PRIVATE"
"HOME & ENVIRONMENTS FOR LIVING AND PROGRAMS, INC. DBA ADLOFF",4289,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Aug 31, 2025",,,"PRIVATE"
"HOME BUILDERS ASSOCIATION OF METROPOLITAN PORTLAND",2475,"OR"," (CJA) RC PACIFIC NORTHWEST","Jun 30, 2019",,,"PRIVATE"
"HOME BUILDERS ASSOCIATION. (RESID.)",1610,"MO ST LOUIS"," (UBC) ST LOUIS DC","May 3, 2004","2361","4500","PRIVATE"
"HOME PRODUCTS INTERNATIONAL-NORTH AMERICA, INC.",2523,"IL","PLASTIC WORKERS UNION 18","Jan 25, 2022","326119","120","PRIVATE"
"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES",2,"KS","MACHINISTS AFL-CIO (IAM) 778","Nov 19, 2017","332995","1000","PRIVATE"
"HONEYWELL INTERNATIONAL INC SPECIALTY MATERIALS",153,"VA HOPEWELL","TEAMSTERS (IBT) 101","May 14, 2005","325222","1062","PRIVATE"
"HONEYWELL INTERNATIONAL INC.",308,"CA IN NJ NY","AUTO WORKERS AFL-CIO (UAW) 508/AUTO WORKERS AFL-CIO (UAW) 531/AUTO WORKERS AFL-CIO (UAW) 791/AUTO WORKERS AFL-CIO (UAW) 91","May 7, 2007","3363","1100","PRIVATE"
"HONEYWELL INTERNATIONAL SMART ENERGY",1038,"OH","PERFECTION EMPLOYEES INDEPENDENT UNION ","Mar 31, 2020",,,"PRIVATE"
"HONEYWELL SPARK PLUG PLANT (WAS ALLIED SIGNAL)",364,"OH FOSTORIA","AUTO WORKERS AFL-CIO (UAW) 533","Oct 31, 2006","336322","800","PRIVATE"
"HONEYWELL, FEDERAL MANUFACTURING & TECHNOLOGIES",3,"MO KANSAS CITY","MACHINISTS AFL-CIO (IAM) 778","Oct 9, 2005","332995","1000","PRIVATE"
"HONEYWELL, INC.",380,"MN MINNEAPOLIS","TEAMSTERS (IBT) 1145","Jan 31, 2007","334512","2500","PRIVATE"
"HOOD PACKAGING CORPORATION",4438,"TX","MACHINISTS AFL-CIO (IAM) 2576 /MACHINISTS AFL-CIO (IAM) 776 ","Mar 29, 2027",,,"PRIVATE"
"HOOVER CO. AND INTERNATIONAL BROTHERHOOD OF ELECTRICAL",287,"OH CANTON","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 1985","Jun 29, 2008","335212","2000","PRIVATE"
"HORIZON AIR INDUSTRIES, INC.",2295,"WA"," (IBT) ","Dec 15, 2020",,,"PRIVATE"
"HORMEL & CO.",43,"MN AUSTIN","FOOD AND COMMERCIAL WKRS (UFCW) 9","Sep 9, 2007","311611","1350","PRIVATE"
"HORSESHOE HOTEL & CASINO",743,"NV LAS VEGAS","UNITE HERE 226,165","May 31, 2007","72112","1100","PRIVATE"
"HOST INTERNATIONAL, INC.",2343,"NV"," (CWU) 226","May 31, 2021",,,"PRIVATE"
"HOTEL ASSOCIATION. OF WASHINGTON, D.C.",736,"DC WASHINGTON","UNITEHERE 25","Sep 15, 2004","72111","4500","PRIVATE"
"HOTEL ASSOCIATION. OF WASHINGTON, D.C. AND UNITE HERE",737,"DC WASHINGTON","UNITE HERE 25","Sep 15, 2010","72111","4500","PRIVATE"
"HOTEL RESTAURANT EMPLOYERS' COUNCIL OF SO. CA INC.",703,"CA SOUTHERN","UNITE HERE 11","Apr 15, 2004","722110","5000","PRIVATE"
"HOTELS, THE (MULTIEMPLOYER)",738,"CA SAN FRAN","UNITEHERE 2","Aug 14, 2004","72111","6500","PRIVATE"
"HOWARD COUNTY BOARD OF EDUCATION",3486,"MD ELLICOTT CY"," (NEA) HCAA","Jun 30, 2013","611110","1000","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION",3485,"MD ELLICOTT CY"," (AFSCME) 1899","Jun 30, 2013","611110","1000","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION",3487,"MD ELLICOTT CY"," (AFSCME) 1899","Jun 30, 2011","611110","1000","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION (EDUC SUPPORT)",3243,"MD ELLICOTT CY"," (NEA) HCEA","Jun 30, 2005","611110","1000","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION (EDUC SUPPORT)",3244,"MD ELLICOTT CY"," (NEA) HCEA","Jun 30, 2013","611110","1000","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION (EDUC SUPPORT)",3245,"MD ELLICOTT CY"," (NEA) HCEA-ESP","Jun 30, 2013","611110","1000","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION (TEACHERS)",3241,"MD ELLICOTT CY"," (NEA) HCEA","Jun 30, 2005","611110","2800","PUBLIC"
"HOWARD COUNTY MD BOARD OF EDUCATION (TEACHERS)",3242,"MD ELLICOTT CY"," (NEA) HCEA","Jun 30, 2013","611110","1000","PUBLIC"
"HOWMET CORP.",358,"MI","AUTO WORKERS AFL-CIO (UAW) 1243","Jun 1, 2010","336413","1400","PRIVATE"
"HOWMET CORP.",359,"MI WHITEHALL","AUTO WORKERS AFL-CIO (UAW) 1243","Jun 1, 2005","336413","1400","PRIVATE"
"HOWMET CORP.",360,"MI","AUTO WORKERS AFL-CIO (UAW) 1243","Jun 1, 2010","336413","1400","PRIVATE"
"HUNTINGTON INGALL INC. - SHIPBUILDING DIV. - METAL TRADES",338,"PASCAGONOULA, MISSISSIPPI"," (MTD) -","Mar 11, 2015","336611","5000","PRIVATE"
"HUNTINGTON INGALL INC. - SHIPBUILDING DIV. - METAL TRADES",339,"PASCAGONOULA, MISSISSIPPI"," (MTD) -","Mar 11, 2018","336611","5000","PRIVATE"
"HUNTINGTON INGALL INC. - SHIPBUILDING DIVISION",342,"PASCAGONOULA, MISSISSIPPI","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 733","Mar 11, 2018","336611","1300","PRIVATE"
"HUNTS POINT TERMINAL MARKET (WAREHOUSEMEN)",1104,"NY","TEAMSTERS (IBT) 202","Jan 17, 2012","493120","1300","PRIVATE"
"HUNTS POINT TERMINAL MARKET (WAREHOUSEMEN)",1105,"NY BRONX","TEAMSTERS (IBT) 202","Jan 15, 2010","493120","1300","PRIVATE"
"HURLEY MEDICAL CENTER (CLERICAL AND TECHNICAL)",2828,"MI FLINT"," (AFSCME) 1603,CNCL 25","Jun 30, 2004","622","1000","PUBLIC"
"HURLEY MEDICAL CENTER (LPNS)",2829,"MI FLINT","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 825 HURLEY MEDICAL CENTER LPN","Jun 30, 2004","622","1000","PUBLIC"
"HUSSMANN CORP./ INGERSOLL RAND",256,"MO BRIDGETON","STEELWORKERS, AFL-CIO (USW) 11 9014 S","Dec 23, 2004","333415","1200","PRIVATE"
"HUSSMANN CORP./ INGERSOLL RAND",4057,"MO","STEELWORKERS, AFL-CIO (USW) 11 9014 S ","Dec 22, 2012","333415","1200","PRIVATE"
"HUSSMANN CORPORATION",3901,"CA","TEAMSTERS (IBT) 986 ","Apr 30, 2023",,,"PRIVATE"
"HYATT CORPORATION AS AGENT OF HE SAN ANTONIO I DBA HYATT REGENCY",3983,"TX","UNITE HERE  (UNITHE) 23 AIRPORT CONCESSIONS & INFLIGHT","Dec 31, 2024",,,"PRIVATE"
"HYATT CORPORATION AS AGENT OF HOTEL INVESTMENTS, LLC. DBA GRAND HYATT",3984,"TX","UNITE HERE  (UNITHE) 23 AIRPORT CONCESSIONS & INFLIGHT","Dec 31, 2024",,,"PRIVATE"
"HYDRO CONDUIT CORPORATION DBA RINKER MATERIALS",4011,"OH","STEELWORKERS, AFL-CIO (USW) 01 8565 S ","Feb 10, 2020",,,"PRIVATE"
"HYDRO EXTRUSION NORTH AMERICA, LLC PHONEIX",2414,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) 428","Apr 30, 2021",,,"PRIVATE"
"IBEW 76 FEDERAL CREDIT UNION",4195,"WA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) 8 ","Dec 31, 2022","813930","3","PRIVATE"
"IBEW LU 191",4662,"WA","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 89 ","Apr 30, 2027",,,"PRIVATE"
"IBP INC.",81,"IL JOSLIN","FOOD AND COMMERCIAL WKRS (UFCW) 1540","Mar 5, 2006","311611","1900","PRIVATE"
"IBP INC.",82,"IA WATERLOO","FOOD AND COMMERCIAL WKRS (UFCW) 431","Dec 31, 2006",,,"PRIVATE"
"IBP INC.",1053,"IL JOSLIN","FOOD AND COMMERCIAL WKRS (UFCW) 1540","Mar 5, 2006","311611","1700","PRIVATE"
"IBP, DAKOTA DUNES SOUTH DAKOTA",890,"TX AMARILLO","TEAMSTERS (IBT) 577","Nov 11, 2007","311611","2500","PRIVATE"
"ICA, INC. (HIGHWAY HEAVY UTILITY DIVISION)",915,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181","Mar 31, 2012","23731","2800","PRIVATE"
"ICCR: INTER FAITH CENTER ON CORPORATE RESPONSIBILITY",1924,"NY"," (UAW) 2110","Sep 30, 2011","813319","2771","PRIVATE"
"ICMC ALLIANCE, LLC.",4115,"VA","SERVICE EMPLOYEES (SEIU) 32 BJ MOTOR VEHICLE INSPECTORS DIVISION","Jul 31, 2027","561720","37","PRIVATE"
"ILLINOIS ASSOCIATION OF HEALTH CARE FACILITIES",785,"IL CHICAGO","SERVICE EMPLOYEES (SEIU) 4","Dec 31, 2007","621492","4600","PRIVATE"
"ILLINOIS ENVIRONMENTAL CONTRACTORS ASSOCIATION (ASBESTOS)",1399,"IL","LABORERS  (LIUNA) 0 CHICAGO/LABORERS  (LIUNA) 225","May 31, 2010","562910","2500","PRIVATE"
"ILLINOIS ENVIRONMENTAL CONTRACTORS ASSOCIATION (ASBESTOS)",1400,"IL NORTHEAST","LABORERS  (LIUNA) 0 CHICAGO/LABORERS  (LIUNA) 225","Jan 1, 1800","562910","2500","PRIVATE"
"ILLINOIS POWER CO.",501,"IL","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 51","Jun 30, 2006","221","1125","PRIVATE"
"ILLINOIS ROAD BUILDERS ASSOCIATION (MARBA)",844,"IL CHICAGO","LABORERS  (LIUNA) 0 CHICAGO","May 31, 2006","23731","5900","PRIVATE"
"ILLINOIS STATE, DEPARTMENT OF CENTRAL MANAGEMENT SERVICES (GENERAL UNIT)",2692,"IL SPRINGFIELD"," (AFSCME) ","Jun 30, 2008","921190","42250","PUBLIC"
"ILLINOIS STATE, DEPARTMENT OF CENTRAL MANAGEMENT SERVICES (NURSES)",2744,"IL SPRINGFIELD"," (INA) ","Jun 30, 2008","622","1350","PUBLIC"
"ILLINOIS STATE, DEPARTMENTS OF CENTRAL MANAGEMENT SERVICES, CORRECTIONS, HUMAN SERVICES, STATE POLICE, VETERANS' AFFAIRS, NATURAL RESOURCES, AND TRANSPORTATION",2736,"IL SPRINGFIELD","TEAMSTERS (IBT) 726","Jun 30, 2008","488490","2900","PUBLIC"
"ILLINOIS, STATE OF - DEPARTMENT OF CENTRAL MANAGEMENT SERVICES AND NATURAL RESOURCES (PUBLIC SERVICE ADMINISTRATOR)",4305,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Jun 30, 2023",,,"PUBLIC"
"ILLINOIS, STATE OF (SECRETARY OF STATE OFFICE)",4293,"IL","SERVICE EMPLOYEES (SEIU) 73 ","Jun 30, 2023",,,"PUBLIC"
"ILLINOIS, UNIVERSITY OF (CHAMPAIGN-URBANA-CLERICAL & ADMIN)",3346,"IL CHAMPAIGN"," (AFSCME) 3700","Aug 25, 2007","611310","2000","PUBLIC"
"ILLINOIS, UNIVERSITY OF (CLERICAL NON ACADEMIC)",3333,"IL CHICAGO","SERVICE EMPLOYEES (SEIU) 73","Aug 31, 2006","611310","950","PUBLIC"
"ILLINOIS, UNIVERSITY OF, THE BOARD OF TRUSTEES",3530,"ILLINOIS","LABORERS  (LIUNA) 703","Aug 26, 2017","923110",,"PUBLIC"
"ILLINOIS, UNIVERSITY OF, THE BOARD OF TRUSTEES (NON ACADEMIC EMPLOYEES)",3223,"IL","SERVICE EMPLOYEES (SEIU) 73","Oct 1, 2005","922120","7850","PUBLIC"
"IMAGEWORKS MANUFACTURING, INC.",2539,"IL","CHEMICAL PRODUCTION 30","Mar 31, 2022","323111","10","PRIVATE"
"INDEPENDENCE, CITY OF (MAINTENANCE / CLERICAL)",4482,"MO","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 53 ","Jun 30, 2027",,,"PUBLIC"
"INDEPENDENT (GENERAL BLDG)",1250,"NY ERIE CO PERRYSBURG, GOWANDA","LABORERS  (LIUNA) 210","Jun 30, 2007","23731","1800","PRIVATE"
"INDEPENDENT (HVY-HWY)",1246,"NY","LABORERS  (LIUNA) 210","Mar 31, 2013","23731","1800","PRIVATE"
"INDEPENDENT (HVY-HWY)",1247,"NY ERIE CO.","LABORERS  (LIUNA) 210","Mar 31, 2005","23731","1800","PRIVATE"
"INDEPENDENT BUILDING AGREEMENT (WAS BCA)",1364,"NY ROCK-WSTC-PN"," (UBC) RC, 11,964","Apr 30, 2004","23622","3200","PRIVATE"
"INDEPENDENT BUILDING CONTRACTORS",2055,"KY","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","May 31, 2015","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTOR",1137,"NY NEW YORK","IRON WORKERS AFL-CIO (BSOIW) 46 METALLIC LATHERS' UNION","Jun 30, 2005","23819","1200","PRIVATE"
"INDEPENDENT CONTRACTORS",1199,"MD DC VA","ENGINEERS, OPERATING, AFL-CIO (IUOE) 77","Apr 30, 2005","23622","1250","PRIVATE"
"INDEPENDENT CONTRACTORS",1849,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","Mar 31, 2017","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS",1883,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","Mar 31, 2017","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS",1884,"KY, IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","May 31, 2010","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS",1898,"NY","CARPENTERS IND (CJA) 85","Mar 31, 2013","23731","1057","PRIVATE"
"INDEPENDENT CONTRACTORS - AREA 694 - LOUISVILLE",2054,"KY","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 692","May 31, 2020","238140","1730","PRIVATE"
"INDEPENDENT CONTRACTORS LATHING AND PLASTERING",1850,"IN"," (-) -","Mar 31, 2017",,,"PRIVATE"
"INDEPENDENT CONTRACTORS OF 23 COUNTIES IN WESTERN NY",997,"NY LOCKPORT","CARPENTERS IND (CJA) 23","Jun 30, 2004","2361","3800","PRIVATE"
"INDEPENDENT GENERAL CONTRACTORS OF SO FL",1175,"FL SOUTH"," (CJA) SO. FL RC","Mar 31, 2006","23622","3500","PRIVATE"
"INDEPENDENT HEAVY & HIGHWAY AGREEMENT",994,"NY ROCHESTER","CARPENTERS IND (CJA) 85","Mar 31, 2010","23731","1300","PRIVATE"
"INDEPENDENT HEAVY & HIGHWAY AGREEMENT",995,"NY ROCHESTER","CARPENTERS IND (CJA) 85","Mar 31, 2006","23731","1300","PRIVATE"
"INDEPENDENT HEAVY, HIGHWAY, UTILITY AND/OR RAILROAD CONSTRUCTION",2384,"PA","LABORERS  (LIUNA) 158","Apr 30, 2020",,,"PRIVATE"
"INDEPENDENT HIGHWAY, RAILROAD & HEAVY CEMENT MASON CONTRACTORS ( METRO AREA AGREEMENT)",1085,"MN, ND, WI","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 633","Apr 30, 2008",,,"PRIVATE"
"INDEPENDENT PLASTERING CONTRACTORS (ROCHESTER AREA)",1909,"NY ROCHESTER","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 633","May 31, 2013","238140","1376","PRIVATE"
"INDEPENDENT PRODUCERS (BASIC TV FILM AGREEMENT)",778,"NATIONAL"," (AFM) -","Feb 15, 2005","238140",,"PRIVATE"
"INDEPENDENT PRODUCERS (BASIC TV FILM AGREEMENT)",846,"NATIONAL"," (AFM) -","Feb 15, 2005","238140",,"PRIVATE"
"INDEPENDENT SCHOOL DISTRICT 196",3143,"ROSEMONT, MN"," (AFM) ","Jun 30, 2005",,,"PUBLIC"
"INDEPENDENT SCHOOL DISTRICT 535, SCHOOL BOARD OF",2883,"MN"," (NEA, AFT) ","Jun 30, 2005",,,"PUBLIC"
"INDEPENDENT TUNNEL AGREEMENT",996,"NY ROCHESTER"," (UBC) 85","Mar 31, 2006","23731","1300","PRIVATE"
"INDEPENDENTS (ROAD & HVY CONSTRUCTION)",979,"NY NASS & SUFF","LABORERS  (LIUNA) 1298","May 31, 2007","23731","1800","PRIVATE"
"INDIANA BUILDING DIVISION ICA, INC.",920,"IN TERRE HAUTE","ENGINEERS, OPERATING, AFL-CIO (IUOE) 841","Mar 31, 2011","23731","1000","PRIVATE"
"INDIANA BUILDING SEWER WATERLINE AND UTILITY",1895,"IN"," (-) -","Jan 1, 1800","23731","1000","PRIVATE"
"INDIANA CONSTRUCTORS INC (HVY-HWY)",1670,"IN","LABORERS  (LIUNA) 57 INDIANA","Mar 31, 2009","23731","10000","PRIVATE"
"INDIANA CONSTRUCTORS INC (HWY-HVY-RR)",914,"IN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 181","Mar 31, 2009","23731","2800","PRIVATE"
"INDIANA CONVENTION CENTER/LUCAS OIL STADIUM",4356,"IN","TEAMSTERS (IBT) 135 ","Dec 31, 2026",,,"PRIVATE"
"INDIANA STATE (UNITS 1-3 AND 10)",3408,"IN"," (UAW/AFT) LOCAL 9212","Jun 30, 2007","921190","15400","PUBLIC"
